Sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,
-50,x,5,0,20,0,47.6113633,,47.6018804,47.6113633,48.612034,48.612034,48.612034,48.612034,48.612034,49.6117337,49.6117337,50.1627313,x,1,0.5337985,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,5,1,21,1,50.1780393,,50.1665981,50.1780393,51.1783768,51.1783768,51.1783768,51.1783768,51.1783768,52.1778801,52.1778801,52.4976963,v,1,0.3082746,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,5,2,22,2,52.5112226,,52.5035589,52.5112226,53.5117024,53.5117024,53.5117024,53.5117024,53.5117024,54.5113207,54.5113207,54.9126389,c,1,0.3939093,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,5,3,23,3,54.9279399,,54.9166636,54.9279399,55.928307,55.928307,55.928307,55.928307,55.928307,56.9279767,56.9279767,57.1797101,z,1,0.2410629,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,6,0,24,0,57.1946314,,57.1849123,57.1946314,58.1947987,58.1947987,58.1947987,58.1947987,58.1947987,59.1947046,59.1947046,59.5132198,x,1,0.3029225,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,6,1,25,1,59.5277938,,59.5168332,59.5277938,60.528458,60.528458,60.528458,60.528458,60.528458,61.5282286,61.5282286,61.7802747,v,1,0.241528,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,6,2,26,2,61.7947405,,61.7856736,61.7947405,62.7949196,62.7949196,62.7949196,62.7949196,62.7949196,63.7948111,63.7948111,64.0463014,c,1,0.2361756,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,6,3,27,3,64.0611697,,64.0515706,64.0611697,65.0615657,65.0615657,65.0615657,65.0615657,65.0615657,66.0610839,66.0610839,66.3799774,z,1,0.3139604,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,7,0,28,0,66.3944766,,66.3860644,66.3944766,67.3953601,67.3953601,67.3953601,67.3953601,67.3953601,68.3947647,68.3947647,68.7797365,x,1,0.3702368,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,7,1,29,1,68.7943005,,68.7841421,68.7943005,69.7948315,69.7948315,69.7948315,69.7948315,69.7948315,70.7950131,70.7950131,71.0461116,v,1,0.2385362,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
