study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
vase,,0,0,0,0,,,,,0.06203139992430806,,0.022797599900513887,0.06203139992430806,0.06203139992430806,3.39682549983263,1,3.3479451998136938,,,,,,,,,,,,,,,4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
piano,,0,1,1,3,,,,,3.421960699837655,,3.397393399849534,3.421960699837655,3.421960699837655,4.13842779956758,1,0.7148406999185681,,,,,,,,,,,,,,,4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
book,,0,2,2,2,,,,,4.159008999820799,,4.138825999572873,4.159008999820799,4.159008999820799,5.366517899557948,1,1.2044854001142085,,,,,,,,,,,,,,,4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
tiger,,0,3,3,1,,,,,5.392769299913198,,5.366891999728978,5.392769299913198,5.392769299913198,5.966178999748081,1,0.5721164997667074,,,,,,,,,,,,,,,4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
cushion,,0,4,4,4,,,,,5.990487199742347,,5.966558799613267,5.990487199742347,5.990487199742347,7.433198499958962,1,1.440628900192678,,,,,,,,,,,,,,,4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,_oo_,,,,,0,0,0,2,7.458152699749917,,,,,,,,7.441015599761158,7.458152699749917,7.458152699749917,7.458152699749917,0.012667099945247173,12.166511199902743,book,[-0.12037037037037036],[-0.2962962962962963],[1],[0],[0],[4.719290999695659],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,_a_e,,,,,0,1,1,0,12.18561329971999,,,,,,,,12.16846889955923,12.18561329971999,12.18561329971999,12.18561329971999,0.004828500095754862,15.881775999907404,table,[-0.12037037037037036],[-0.2962962962962963],[1],[0],[0],[3.707816499751061],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,p_a_o,,,,,0,2,2,6,15.900052099954337,,,,,,,,15.8833331996575,15.900052099954337,15.900052099954337,15.900052099954337,0.004843299742788076,18.947888599708676,piano,[-0.12037037037037036],[-0.2962962962962963],[1],[0],[0],[3.0592451002448797],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,t_b_e,,,,,0,3,3,8,18.96522879973054,,,,,,,,18.948644599877298,18.96522879973054,18.96522879973054,18.96522879973054,0.00452210009098053,23.38182109966874,table,[-0.12037037037037036],[-0.2962962962962963],[1],[0],[0],[4.427840399555862],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,f_b_i_,,,,,0,4,4,7,23.41045349976048,,,,,,,,23.383346899878234,23.41045349976048,23.41045349976048,23.41045349976048,0.008553000167012215,27.5983789996244,fabric,[-0.12037037037037036],[-0.2962962962962963],[1],[0],[0],[4.205732199829072],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,c_s_ i _n,,,,,0,5,5,3,27.61623579962179,,,,,,,,27.59943879954517,27.61623579962179,27.61623579962179,27.61623579962179,0.005104199983179569,34.18141739955172,cushion,[-0.12407407407407407],[-0.2975308641975309],[1],[0],[0],[6.5757370996288955],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,c_c_n_t,,,,,0,6,6,4,34.202671699691564,,,,,,,,34.18256109999493,34.202671699691564,34.202671699691564,34.202671699691564,0.005143900401890278,37.963719099760056,coconut,[-0.12407407407407407],[-0.2975308641975309],[1],[0],[0],[3.775445300154388],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,p_r_m_d,,,,,0,7,7,5,37.98560609994456,,,,,,,,37.96479749958962,37.98560609994456,37.98560609994456,37.98560609994456,0.007724700029939413,47.97874409984797,,[],[],[],[],[],[],[],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,_a_d_l,,,,,0,8,8,9,47.9952475996688,,,,,,,,47.97977379988879,47.9952475996688,47.9952475996688,47.9952475996688,0.019792600069195032,57.97870109975338,,[],[],[],[],[],[],[],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
,t_g_r,,,,,0,9,9,1,57.995374399702996,,,,,,,,57.97965639969334,57.995374399702996,57.995374399702996,57.995374399702996,0.018989200238138437,60.6968577997759,tiger,[-0.12407407407407407],[-0.2975308641975309],[1],[0],[0],[2.7123895999975502],['text_3'],4,001,2024-11-07_12h14.28.612,priming_exp,2024.1.5,None,2024-11-07 12h14.41.163779 +0530,
