trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,mouse.time,,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0763616,,0.0164563,5,1.3684874,,0.0763616,0.0763616,0.0572544,2.4635886,[-0.475],[-0.14583333333333334],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
1,0,1,0,2.5264106,,2.4697681,5,1.8187516,,2.5264106,2.5264106,0.0401772,4.2968633,[0.03194444444444444],[0.034722222222222224],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
2,0,2,0,4.3435884,,4.3020038,5,1.6037187,,4.3435884,4.3435884,0.0266369,5.6970113,[-0.16111111111111112],[-0.39861111111111114],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
3,0,3,0,5.7607655,,5.7017797,5,1.3248135,,5.7607655,5.7607655,0.036621,7.1799479,[-0.42083333333333334],[0.18888888888888888],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
4,0,4,0,7.2267401,,7.1879614,5,1.4950269,,7.2267401,7.2267401,0.0252928,9.0311901,[0.22777777777777777],[-0.44166666666666665],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
5,0,5,0,9.076571,,9.0357831,5,2.6407418,,9.076571,9.076571,0.0240651,10.6632743,[0.2902777777777778],[-0.4444444444444444],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
6,0,6,0,10.7094451,,10.6668455,5,1.5373381,,10.7094451,10.7094451,0.0213423,12.0128052,[-0.15138888888888888],[0.4],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
7,0,7,0,12.0593809,,12.0183991,5,1.2242313,,12.0593809,12.0593809,0.0196769,13.5323126,[0.18333333333333332],[-0.4027777777777778],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
8,0,8,0,13.6103957,,13.5370495,5,2.1892409,,13.6103957,13.6103957,0.0421262,15.3455826,[-0.37777777777777777],[0.18333333333333332],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
9,0,9,0,15.4263121,,15.3532306,5,1.4255886,,15.4263121,15.4263121,0.0397361,18.1619067,[-0.38333333333333336],[0.16805555555555557],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
10,0,10,0,18.2255402,,18.1654489,5,1.3428723,,18.2255402,18.2255402,0.0321819,20.7297341,[-0.15555555555555556],[0.325],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
11,0,11,0,20.7761545,,20.7338577,5,1.5928858,,20.7761545,20.7761545,0.021122,23.3960991,[-0.09027777777777778],[-0.4013888888888889],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
12,0,12,0,23.4596759,,23.4012407,5,1.2883036,,23.4596759,23.4596759,0.039206,25.6466936,[0.18888888888888888],[-0.2902777777777778],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
13,0,13,0,25.7093855,,25.6507562,5,1.2912913,,25.7093855,25.7093855,0.0397096,27.3291264,[-0.2125],[-0.34305555555555556],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
14,0,14,0,27.3763847,,27.3346824,5,2.1594158,,27.3763847,27.3763847,0.0261594,28.8980301,[-0.1638888888888889],[0.22083333333333333],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
15,0,15,0,28.9433958,,28.902357,5,1.3786086,,28.9433958,28.9433958,0.0219356,30.1481814,[0.07916666666666666],[0.45],[1],[0],[0],,['target'],P5,1,2024-10-10_17h37.00.776,untitled,2024.1.5,None,2024-10-10 17h37.14.531721 +0530
