trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,mouse.time,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0577644,,0.0109709,5,1.1948326,0.0577644,0.0577644,0.0422962,7.0956209,[0.4625],[0.46805555555555556],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
1,0,1,0,7.1577514,,7.1008312,5,1.343326,7.1577514,7.1577514,0.0321501,8.5779446,[-0.11944444444444445],[0.2708333333333333],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
2,0,2,0,8.6246634,,8.5820477,5,1.5534571,8.6246634,8.6246634,0.0184148,9.7949601,[0.1],[0.2777777777777778],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
3,0,3,0,9.8577835,,9.7998508,5,1.897954,9.8577835,9.8577835,0.0336209,12.3440969,[0.4597222222222222],[0.005555555555555556],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
4,0,4,0,12.4081624,,12.3483755,5,1.244733,12.4081624,12.4081624,0.0380251,14.0108908,[-0.4375],[0.03888888888888889],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
5,0,5,0,14.0579478,,14.0156577,5,1.4640755,14.0579478,14.0579478,0.0197148,15.3786653,[0.18472222222222223],[0.125],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
6,0,6,0,15.4247046,,15.3827878,5,1.7133825,15.4247046,15.4247046,0.0252324,16.9613098,[-0.41805555555555557],[-0.005555555555555556],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
7,0,7,0,17.0243282,,16.9656433,5,3.4209809,17.0243282,17.0243282,0.034744,19.5270405,[0.24027777777777778],[0.4444444444444444],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
8,0,8,0,19.5575729,,19.5311379,5,1.9967905,19.5575729,19.5575729,0.0170852,21.4462532,[0.39861111111111114],[-0.24305555555555555],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
9,0,9,0,21.5080307,,21.4506028,5,1.9978327,21.5080307,21.5080307,0.04093,24.0110682,[-0.044444444444444446],[0.35694444444444445],[1],[0],[0],,['target'],P2,1,2024-10-06_14h54.12.638,untitled,2024.1.5,None,2024-10-06 14h54.24.235627 +0530
