reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.17228769999928772,,0.013516300008632243,0.17228769999928772,1.0037505000364035,1.0037505000364035,1.172913399990648,6.995512799941935,t,5.982178699923679,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
78,80,162,0,1,1,6,7.010620899964124,,6.996563800028525,7.010620899964124,8.006089000031352,8.006089000031352,8.0225885999389,10.107673199963756,t,2.0852321001002565,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
67,75,119,0,2,2,5,10.122493000002578,,10.10884709993843,10.122493000002578,11.12251350004226,11.12251350004226,11.12251350004226,14.157999999937601,t,3.0317066999850795,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
11,30,7,0,3,3,0,14.173919199965894,,14.159270499949344,14.173919199965894,15.172560499981046,15.172560499981046,15.189154400024563,18.007695500040427,l,2.818167999968864,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
49,60,89,0,4,4,4,18.022506800014526,,18.008637199993245,18.022506800014526,19.02258490002714,19.02258490002714,19.02258490002714,22.340262799989432,t,3.30164859991055,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
15,35,43,0,5,5,1,22.355648400029168,,22.341371699934825,22.355648400029168,23.355868099955842,23.355868099955842,23.355868099955842,24.724498399998993,l,1.354821200016886,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
27,50,21,0,6,6,2,24.7389290999854,,24.725791599950753,24.7389290999854,25.739127399981953,25.739127399981953,25.739127399981953,27.590906099998392,l,1.8467111999634653,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
40,55,62,1,0,7,3,27.605514199938625,,27.592061499948613,27.605514199938625,28.605845300015062,28.605845300015062,28.605845300015062,31.72342930000741,l,3.1131568000419065,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
15,35,43,1,1,8,1,31.738825500011444,,31.724369999952614,31.738825500011444,32.738998999935575,32.738998999935575,32.738998999935575,34.4908402999863,l,1.7437605999875814,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
78,80,162,1,2,9,6,34.505547199980356,,34.49200299999211,34.505547199980356,35.505545799969696,35.505545799969696,35.505545799969696,36.973606799962,t,1.453458599979058,None,2,001,2024-11-20_11h23.03.284,delay_discounting,2024.1.5,None,2024-11-20 11h23.13.102089 +0530,
