reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.2852106000063941,,0.015133700100705028,0.2852106000063941,1.001192199997604,1.001192199997604,1.2848436000058427,11.529489300097339,l,10.514900000067428,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
11,30,7,0,1,1,0,11.552583800046705,,11.531980300089344,11.552583800046705,12.5346396000823,12.5346396000823,12.567883100011386,16.870189400040545,l,4.329373499960639,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
67,75,119,0,2,2,5,16.889461300102994,,16.871454100008123,16.889461300102994,17.88422200002242,17.88422200002242,17.900723900063895,22.01934690005146,t,4.124844700098038,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
15,35,43,0,3,3,1,22.034335700096563,,22.02054370008409,22.034335700096563,23.034292399999686,23.034292399999686,23.034292399999686,26.919651800068095,t,3.8753177999751642,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
49,60,89,0,4,4,4,26.93915760004893,,26.921563500072807,26.93915760004893,27.934374200063758,27.934374200063758,27.950863100006245,30.969570800079964,t,3.030068999971263,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
27,50,21,0,5,5,2,30.984122900059447,,30.970830100006424,30.984122900059447,31.98392160004005,31.98392160004005,31.98392160004005,42.45317800005432,l,10.456298399949446,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
78,80,162,0,6,6,6,42.4671917000087,,42.45444610004779,42.4671917000087,43.4672895000549,43.4672895000549,43.4672895000549,48.86901810008567,t,5.388767399941571,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
27,50,21,1,0,7,2,48.88381730008405,,48.870163200073875,48.88381730008405,49.88398450007662,49.88398450007662,49.88398450007662,60.802222500089556,l,10.909123899997212,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
78,80,162,1,1,8,6,60.817027700017206,,60.803278500097804,60.817027700017206,61.81706920010038,61.81706920010038,61.81706920010038,67.66877500002738,t,5.8375962999416515,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
67,75,119,1,2,9,5,67.68368190003093,,67.66993120010011,67.68368190003093,68.68367600010242,68.68367600010242,68.68367600010242,76.1858024999965,t,7.484404999995604,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
11,30,7,1,3,10,0,76.20197140006348,,76.18715120002162,76.20197140006348,77.20029720000457,77.20029720000457,77.21684740006458,81.45151610008907,l,4.245223599951714,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
49,60,89,1,4,11,4,81.46679330000188,,81.4526182000991,81.46679330000188,82.466952900053,82.466952900053,82.466952900053,86.90174600004684,l,4.430532499914989,None,1,001,2024-11-20_11h15.45.873,delay_discounting,2024.1.5,None,2024-11-20 11h15.56.990622 +0530,
