reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.1532036999706179,,0.013293500058352947,0.1532036999706179,1.0031315999804065,1.0031315999804065,1.1530962999677286,23.660322200041264,t,22.635100100073032,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
40,55,62,0,1,1,3,23.67689939995762,,23.66152039996814,23.67689939995762,24.669890300021507,24.669890300021507,24.68645210005343,30.254898800048977,t,5.5759714000159875,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
49,60,89,0,2,2,4,30.270763400010765,,30.256185499951243,30.270763400010765,31.269695900031365,31.269695900031365,31.286299500032328,38.9373378000455,l,7.662128700059839,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
15,35,43,0,3,3,1,38.95564519998152,,38.93812349997461,38.95564519998152,39.95269449998159,39.95269449998159,39.96922079997603,45.45428309997078,t,5.491905199945904,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
11,30,7,0,4,4,0,45.46924420003779,,45.455291599966586,45.46924420003779,46.469390799989924,46.469390799989924,46.469390799989924,50.10435729997698,l,3.6199183999560773,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
78,80,162,0,5,5,6,50.116895299986936,,50.105475799995475,50.116895299986936,51.11900710000191,51.11900710000191,51.11900710000191,55.82052680000197,t,4.693450000020675,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
27,50,21,0,6,6,2,55.835777599946596,,55.821517599979416,55.835777599946596,56.835861400002614,56.835861400002614,56.835861400002614,60.221501799998805,t,3.3712358000921085,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
27,50,21,1,0,7,2,60.235924200038426,,60.222494999994524,60.235924200038426,61.236001200042665,61.236001200042665,61.236001200042665,83.95500920002814,t,22.71663730009459,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
11,30,7,1,1,8,0,83.96862049994525,,83.95641099999193,83.96862049994525,84.96879229997285,84.96879229997285,84.96879229997285,86.75346220005304,l,1.7677356000058353,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
67,75,119,1,2,9,5,86.76855849998537,,86.75458860001527,86.76855849998537,87.7687147000106,87.7687147000106,87.7687147000106,89.0041416999884,l,1.2278681000461802,None,3,001,2024-11-20_11h28.34.859,delay_discounting,2024.1.5,None,2024-11-20 11h28.46.364585 +0530,
