word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02982879988849163,0.037029999773949385,0.037029999773949385,10.310465699993074,space,10.259956400142983,None,,,,,,,,,,,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Death,green,I,g,0,0,0,10,10.344906499842182,,,,,,,,,10.329449099954218,10.344906499842182,10.344906499842182,10.818859099876136,10.8520389997866,11.437170899938792,g,1,1.076965499902144,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Tree,blue,C,b,0,1,1,27,11.452013599919155,,,,,,,,,11.438793099950999,11.452013599919155,11.452013599919155,11.952389199985191,11.952389199985191,13.736708199838176,b,1,2.281031599966809,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Bomb,yellow,I,y,0,2,2,24,13.752112799789757,,,,,,,,,13.737752399872988,13.752112799789757,13.752112799789757,14.25234689982608,14.25234689982608,17.186205099802464,y,1,3.4309855999890715,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
School,blue,C,b,0,3,3,3,17.201647899812087,,,,,,,,,17.186967599904165,17.201647899812087,17.201647899812087,17.68616809998639,17.70264989999123,19.304786399938166,b,1,2.0963568000588566,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Dear,blue,C,b,0,4,4,19,19.320687899831682,,,,,,,,,19.306089399848133,19.320687899831682,19.320687899831682,19.81859669997357,19.83571339980699,20.83669299981557,b,1,1.5018517000135034,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Broom,red,C,r,0,5,5,21,20.85167849995196,,,,,,,,,20.83741659997031,20.85167849995196,20.85167849995196,22.92306389985606,22.92306389985606,24.957581699825823,r,1,4.098651000065729,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Chalk,green,C,g,0,6,6,2,24.98151359986514,,,,,,,,,24.95901419990696,24.98151359986514,24.98151359986514,25.472612799843773,25.487423799932003,26.474018099950626,g,1,1.4857479999773204,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Box,red,C,r,0,7,7,5,26.49259759997949,,,,,,,,,26.475442999973893,26.49259759997949,26.49259759997949,26.988452299963683,27.00357659999281,31.320703099947423,r,1,4.825394700048491,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Flower,green,C,g,0,8,8,30,31.33683429984376,,,,,,,,,31.321585699915886,31.33683429984376,31.33683429984376,31.834085299866274,31.85071409982629,33.98544009984471,g,1,2.633376399986446,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Hate,green,I,g,0,9,9,22,34.00072679994628,,,,,,,,,33.98631749977358,34.00072679994628,34.00072679994628,34.50073429988697,34.50073429988697,35.885929899988696,g,1,1.8677213001064956,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Despair,yellow,I,y,0,10,10,20,35.90078699984588,,,,,,,,,35.88696389994584,35.90078699984588,35.90078699984588,36.40074049984105,36.40074049984105,37.818750499980524,y,1,1.906962800072506,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Clock,red,C,r,0,11,11,13,37.833951599895954,,,,,,,,,37.81956439977512,37.833951599895954,37.833951599895954,38.334037699969485,38.334037699969485,39.08563009998761,g,0,1.241100799990818,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Guilt,red,I,r,0,12,12,1,39.10064199985936,,,,,,,,,39.0865239999257,39.10064199985936,39.10064199985936,39.6005846997723,39.6005846997723,40.60269829980098,r,1,1.4919188001658767,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Anxious,green,I,g,0,13,13,6,40.61791629996151,,,,,,,,,40.603550399886444,40.61791629996151,40.61791629996151,41.11729649989866,41.11729649989866,43.0184776999522,g,1,2.3947864999063313,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Cancer,red,I,r,0,14,14,29,43.033953699981794,,,,,,,,,43.019325099885464,43.033953699981794,43.033953699981794,43.53373599983752,43.53373599983752,44.3359394997824,r,1,1.2882187000941485,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Failure,yellow,I,y,0,15,15,12,44.3506498998031,,,,,,,,,44.33684299979359,44.3506498998031,44.3506498998031,44.85063449991867,44.85063449991867,46.285122299799696,y,1,1.924768100026995,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Sadness,yellow,I,y,0,16,16,4,46.300544099882245,,,,,,,,,46.28593459981494,46.300544099882245,46.300544099882245,46.800585999852046,46.800585999852046,48.30178759992123,y,1,1.993492899928242,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
Door,green,C,g,0,17,17,26,48.31732109980658,,,,,,,,,48.303107699844986,48.31732109980658,48.31732109980658,48.8170149999205,48.8170149999205,49.66889419988729,g,1,1.3410266998689622,None,,,,,3,001,2024-12-04_14h20.51.707,emotional_stroop,2024.1.5,None,2024-12-04 14h21.01.417473 +0530,
