word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.010604700073599815,0.01853449991904199,0.01853449991904199,3.84350399998948,space,3.8087720000185072,None,,,,,,,,,,,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
School,blue,C,b,0,0,0,3,3.868349199881777,,,,,,,,,3.856384800048545,3.868349199881777,3.868349199881777,4.351932799909264,4.368528200080618,5.486269599990919,b,1,1.6150213000364602,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Sadness,yellow,I,y,0,1,1,4,5.501738799968734,,,,,,,,,5.487463199999183,5.501738799968734,5.501738799968734,6.0020496000070125,6.0020496000070125,7.236191399861127,y,1,1.7219992000609636,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Bomb,yellow,I,y,0,2,2,24,7.251704999944195,,,,,,,,,7.236891400068998,7.251704999944195,7.251704999944195,7.751653099898249,7.751653099898249,9.202821499900892,y,1,1.941976899979636,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Chalk,yellow,C,y,0,3,3,16,9.21828530007042,,,,,,,,,9.203548399964347,9.21828530007042,9.21828530007042,9.719258799916133,9.719258799916133,10.902858099900186,y,1,1.6746487999334931,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Cancer,red,I,r,0,4,4,29,10.918294999981299,,,,,,,,,10.903641399927437,10.918294999981299,10.918294999981299,11.418348500039428,11.418348500039428,12.453396999975666,r,1,1.5291854999959469,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Clock,red,C,r,0,5,5,13,12.468281399924308,,,,,,,,,12.454530799994245,12.468281399924308,12.468281399924308,12.968363299965858,12.968363299965858,13.644831199897453,r,1,1.1527923000976443,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Window,blue,C,b,0,6,6,23,13.66378719988279,,,,,,,,,13.645945699885488,13.66378719988279,13.66378719988279,15.529644799884409,15.529644799884409,17.67906380002387,b,1,3.9994245001580566,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Box,red,C,r,0,7,7,5,17.69694900000468,,,,,,,,,17.68012829986401,17.69694900000468,17.69694900000468,18.195223999908194,18.212457499932498,19.182457299903035,r,1,1.4663201998919249,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
Door,green,C,g,0,8,8,26,19.21161670004949,,,,,,,,,19.184416099917144,19.21161670004949,19.21161670004949,19.69060209998861,19.724343199981377,21.494973900029436,g,1,2.2693511000834405,None,,,,,4,001,2024-12-04_14h22.42.365,emotional_stroop,2024.1.5,None,2024-12-04 14h22.52.563477 +0530,
