word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.005081700161099434,0.013955800095573068,0.013955800095573068,3.5176318001467735,space,3.484011000022292,None,,,,,,,,,,,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Murder,green,I,g,0,0,0,18,3.544210300082341,,,,,,,,,3.5313637000508606,3.544210300082341,3.544210300082341,4.026895000133663,4.043295900104567,6.445364600047469,g,1,2.8914998001419008,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Lonely,red,I,r,0,1,1,17,6.460498500149697,,,,,,,,,6.447067100089043,6.460498500149697,6.460498500149697,6.959913500119001,6.959913500119001,8.84637639997527,r,1,2.3793674998451024,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Flower,green,C,g,0,2,2,30,8.862338799983263,,,,,,,,,8.847385300090536,8.862338799983263,8.862338799983263,9.359704000176862,9.376559100113809,9.961529000196606,g,1,1.0846495002042502,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Anxious,green,I,g,0,3,3,6,9.976391999982297,,,,,,,,,9.962810800177976,9.976391999982297,9.976391999982297,10.476442800136283,10.476442800136283,12.028107300167903,g,1,2.0351966999005526,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Chalk,green,C,g,0,4,4,2,12.042941500199959,,,,,,,,,12.0291432000231,12.042941500199959,12.042941500199959,12.543026800034568,12.543026800034568,13.078130000038072,g,1,1.0191267000045627,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Failure,yellow,I,y,0,5,5,12,13.093234800035134,,,,,,,,,13.079084200086072,13.093234800035134,13.093234800035134,13.593111800029874,13.593111800029874,14.545783400069922,y,1,1.449597200145945,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Cancer,red,I,r,0,6,6,29,14.559701600112021,,,,,,,,,14.546789200045168,14.559701600112021,14.559701600112021,15.060035299975425,15.060035299975425,15.677940200082958,r,1,1.1122379000298679,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Window,blue,C,b,0,7,7,23,15.693101500160992,,,,,,,,,15.678613600088283,15.693101500160992,15.693101500160992,16.19305230001919,16.19305230001919,16.7454917000141,b,1,1.047994000138715,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Tree,blue,C,b,0,8,8,27,16.75990579999052,,,,,,,,,16.747071700170636,16.75990579999052,16.75990579999052,17.259786900132895,17.259786900132895,17.729318800149485,b,1,0.9658115000929683,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Guilt,red,I,r,0,9,9,1,17.743375500198454,,,,,,,,,17.730151100084186,17.743375500198454,17.743375500198454,18.243308500153944,18.243308500153944,18.74508750019595,r,1,0.9943000001367182,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Clock,red,C,r,0,10,10,13,18.759585400111973,,,,,,,,,18.746123200049624,18.759585400111973,18.759585400111973,19.259587000124156,19.259587000124156,19.928161300020292,r,1,1.1616688000503927,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Chalk,yellow,C,y,0,11,11,16,19.942900400143117,,,,,,,,,19.929032400017604,19.942900400143117,19.942900400143117,20.443026500055566,20.443026500055566,21.04569310019724,y,1,1.0966479999478906,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Door,green,C,g,0,12,12,26,21.059808799996972,,,,,,,,,21.04656679998152,21.059808799996972,21.059808799996972,21.559609499992803,21.559609499992803,22.261311700101942,g,1,1.1872062000911683,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Sadness,yellow,I,y,0,13,13,4,22.276116100139916,,,,,,,,,22.26213670009747,22.276116100139916,22.276116100139916,22.77604390005581,22.77604390005581,25.128052900079638,y,1,2.840226300060749,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Dear,blue,C,b,0,14,14,19,25.142907100031152,,,,,,,,,25.12903399998322,25.142907100031152,25.142907100031152,25.642908500041813,25.642908500041813,26.344451599987224,b,1,1.1895800000056624,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Death,green,I,g,0,15,15,10,26.359584500081837,,,,,,,,,26.345254600048065,26.359584500081837,26.359584500081837,26.85972290020436,26.85972290020436,27.411518400069326,g,1,1.0480140999425203,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Broom,red,C,r,0,16,16,21,27.426212300080806,,,,,,,,,27.412497400073335,27.426212300080806,27.426212300080806,27.92589220008813,27.92589220008813,28.612057500053197,r,1,1.169155300129205,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Pain,blue,I,b,0,17,17,15,28.626314100110903,,,,,,,,,28.612928700167686,28.626314100110903,28.626314100110903,29.12610990018584,29.12610990018584,30.111403400078416,r,0,1.4759994000196457,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
Bomb,yellow,I,y,0,18,18,24,30.13195910002105,,,,,,,,,30.11248530005105,30.13195910002105,30.13195910002105,30.626419899985194,30.64298340003006,32.21149180014618,y,1,2.0684198001399636,None,,,,,15,001,2024-12-04_15h07.12.611,emotional_stroop,2024.1.5,None,2024-12-04 15h07.22.677094 +0530,
