word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004906000103801489,0.01164570008404553,0.01164570008404553,7.6253806001041085,space,7.602170099969953,None,,,,,,,,,,,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Misery,red,I,r,0,0,0,25,7.651452099904418,,,,,,,,,7.6387553999666125,7.651452099904418,7.651452099904418,8.133468500105664,8.166916500078514,9.602004999993369,r,1,1.9428224000148475,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Pain,blue,I,b,0,1,1,15,9.616718800039962,,,,,,,,,9.603363200090826,9.616718800039962,9.616718800039962,10.117048399988562,10.117048399988562,11.935979699948803,b,1,2.3061452000401914,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Street,yellow,C,y,0,2,2,0,11.951130999950692,,,,,,,,,11.93679659999907,11.951130999950692,11.951130999950692,12.450219999998808,12.466799800051376,13.317632300080732,y,1,1.350224600173533,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Book,blue,C,b,0,3,3,11,13.333321199985221,,,,,,,,,13.318681800039485,13.333321199985221,13.333321199985221,13.833197999978438,13.833197999978438,14.435264599975199,b,1,1.0887947999872267,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Murder,green,I,g,0,4,4,18,14.449953499948606,,,,,,,,,14.436411699978635,14.449953499948606,14.449953499948606,14.950052000116557,14.950052000116557,15.634652300039306,g,1,1.1675993001554161,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Wall,red,C,r,0,5,5,9,15.650053800083697,,,,,,,,,15.635671199997887,15.650053800083697,15.650053800083697,16.150091799907386,16.150091799907386,16.935395899927244,r,1,1.277067500166595,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Bomb,yellow,I,y,0,6,6,24,16.95005579991266,,,,,,,,,16.936406000051647,16.95005579991266,16.95005579991266,17.4499238000717,17.4499238000717,19.085479399887845,y,1,2.132638599956408,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Door,green,C,g,0,7,7,26,19.099708100082353,,,,,,,,,19.086280999938026,19.099708100082353,19.099708100082353,19.59998739999719,19.59998739999719,20.134545400040224,g,1,1.0325054000131786,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
Sadness,yellow,I,y,0,8,8,4,20.149904699996114,,,,,,,,,20.135330700082704,20.149904699996114,20.149904699996114,20.64987950003706,20.64987950003706,21.25158859998919,y,1,1.0948705000337213,None,,,,,14,001,2024-12-04_15h05.57.318,emotional_stroop,2024.1.5,None,2024-12-04 15h06.08.509218 +0530,
