word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004782000090926886,0.012438199948519468,0.012438199948519468,2.8975456999614835,space,2.8735448999796063,None,,,,,,,,,,,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Chalk,green,C,g,0,0,0,2,2.922673000022769,,,,,,,,,2.910558700095862,2.922673000022769,2.922673000022769,3.4066635000053793,3.4233685000799596,4.2757981000468135,g,1,1.3505795998498797,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Cancer,red,I,r,0,1,1,29,4.289725499926135,,,,,,,,,4.277647800045088,4.289725499926135,4.289725499926135,4.789856299990788,4.789856299990788,6.025239099981263,r,1,1.7238089998718351,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Broom,red,C,r,0,2,2,21,6.039777199970558,,,,,,,,,6.0263537999708205,6.039777199970558,6.039777199970558,6.539843000005931,6.539843000005931,7.125553499907255,r,1,1.0745345000177622,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Door,green,C,g,0,3,3,26,7.14027260011062,,,,,,,,,7.126857900060713,7.14027260011062,7.14027260011062,7.639582199975848,7.639582199975848,8.24166169995442,g,1,1.0876704000402242,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Window,blue,C,b,0,4,4,23,8.256290100049227,,,,,,,,,8.242819299921393,8.256290100049227,8.256290100049227,8.756527200108394,8.756527200108394,9.458535900106654,y,0,1.1979243999812752,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Bomb,yellow,I,y,0,5,5,24,9.473096000030637,,,,,,,,,9.459865800105035,9.473096000030637,9.473096000030637,9.97301229997538,9.97301229997538,11.141857499955222,y,1,1.6622653000522405,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Book,blue,C,b,0,6,6,11,11.156559000024572,,,,,,,,,11.142643200000748,11.156559000024572,11.156559000024572,11.656408699927852,11.656408699927852,12.208523199893534,b,1,1.0490542999468744,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Flower,green,C,g,0,7,7,30,12.22312460001558,,,,,,,,,12.209484999999404,12.22312460001558,12.22312460001558,12.723401200026274,12.723401200026274,13.409152100095525,g,1,1.1742491000331938,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
Pen,green,C,g,0,8,8,14,13.423100200016052,,,,,,,,,13.410232400055975,13.423100200016052,13.423100200016052,13.923135000048205,13.923135000048205,14.458796699997038,g,1,1.0295142999384552,None,,,,,11,001,2024-12-04_14h58.27.154,emotional_stroop,2024.1.5,None,2024-12-04 14h58.37.058186 +0530,
