word,colour,condition,cor_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Trail.started,fixation.started,key_resp.started,text.started,fixation.stopped,Trail.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004099800018593669,0.010341300163418055,0.010341300163418055,6.043369699968025,space,6.0177296998444945,None,,,,,,,,,,,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Failure,yellow,I,y,0,0,0,12,6.070841300068423,,,,,,,,,6.058786500012502,6.070841300068423,6.070841300068423,6.551468100165948,6.584391599986702,7.5532395001500845,y,1,1.4786011998075992,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Dear,blue,C,b,0,1,1,19,7.567768100183457,,,,,,,,,7.55475730006583,7.567768100183457,7.567768100183457,8.068116000154987,8.068116000154987,8.836342900060117,b,1,1.258018200052902,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Window,blue,C,b,0,2,2,23,8.851136400131509,,,,,,,,,8.83738710009493,8.851136400131509,8.851136400131509,9.351276900153607,9.351276900153607,10.236030700150877,b,1,1.3691846998408437,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Despair,yellow,I,y,0,3,3,20,10.251202299958095,,,,,,,,,10.237125500105321,10.251202299958095,10.251202299958095,10.75141609995626,10.75141609995626,11.95304870000109,y,1,1.6888180000241846,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Box,red,C,r,0,4,4,5,11.967826600186527,,,,,,,,,11.954019200056791,11.967826600186527,11.967826600186527,12.468051300151274,12.468051300151274,13.036275600083172,r,1,1.05235409992747,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Street,yellow,C,y,0,5,5,0,13.051224500173703,,,,,,,,,13.037553400034085,13.051224500173703,13.051224500173703,13.551224800059572,13.551224800059572,15.485819000052288,y,1,2.418982099974528,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Bomb,yellow,I,y,0,6,6,24,15.501053299987689,,,,,,,,,15.486683700000867,15.501053299987689,15.501053299987689,16.001221100101247,16.001221100101247,17.385915799997747,y,1,1.8702268998604268,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
Anxious,green,I,g,0,7,7,6,17.401291500078514,,,,,,,,,17.386696300003678,17.401291500078514,17.401291500078514,17.901250400114805,17.901250400114805,20.03575210017152,g,1,2.6197366998530924,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
School,blue,C,b,0,8,8,3,20.05116689996794,,,,,,,,,20.036971800029278,20.05116689996794,20.05116689996794,20.55118880001828,20.55118880001828,21.27008550008759,b,1,1.2161536999046803,None,,,,,7,001,2024-12-04_14h27.22.328,emotional_stroop,2024.1.5,None,2024-12-04 14h27.33.489823 +0530,
