delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,5,0.027326400391757488,,0.020826600026339293,0.027326400391757488,1.0026283003389835,1.0026283003389835,1.0355717004276812,1.9049475002102554,space,0.8980399998836219,None,1.9071512003429234,2.6191570670964817,2.931500700302422,2.9147942001000047,2.9148329002782702,2.931500700302422,2.931500700302422,2.931500700302422,5.521010600030422,700,1,[2.60265769995749],[2.6026718001812696],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,0,1,1,6,5.535501600243151,,5.5235838000662625,5.535501600243151,6.535692100413144,6.535692100413144,6.535692100413144,7.270703100133687,space,0.726403099950403,None,7.271919300314039,7.385883466868351,7.701368800364435,7.685201600193977,7.685287500265986,7.701368800364435,7.701368800364435,7.701368800364435,8.837685600388795,100,1,[1.1496354998089373],[1.1496466998942196],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,400,unexp,0,2,2,2,8.852491800207645,,8.838913300074637,8.852491800207645,9.852544200140983,9.852544200140983,9.852544200140983,11.237201500218362,space,1.3689048998057842,None,11.238154500257224,11.952072366668533,12.264613800216466,12.247383800335228,12.24745330028236,12.264613800216466,12.264613800216466,12.264613800216466,13.78767090011388,400 ,1,[1.5364950997754931],[1.5365078998729587],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,0,3,3,3,13.802607600111514,,13.789224600419402,13.802607600111514,14.802524200174958,14.802524200174958,14.802524200174958,16.33760690037161,space,1.5252076000906527,None,16.338650200050324,16.452301666668305,16.76027370011434,16.745192700065672,16.745249400381,16.76027370011434,16.76027370011434,16.76027370011434,17.92040830012411,100,1,[1.172684000339359],[1.1726963999681175],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,0,4,4,7,17.93581770034507,,17.921685500070453,17.93581770034507,18.93542530015111,18.93542530015111,18.93542530015111,19.38653720030561,space,0.4400820001028478,None,19.38766590040177,19.802102666875967,20.110080000013113,20.09483930002898,20.094897700008005,20.110080000013113,20.110080000013113,20.110080000013113,21.58658090000972,100,1,[1.4892484997399151],[1.4892588998191059],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,0,5,5,4,21.60201600007713,,21.58804740011692,21.60201600007713,22.6024312004447,22.6024312004447,22.6024312004447,22.62033770000562,space,0.006937299855053425,None,22.621027400251478,23.035141866716245,,23.29628250002861,23.296329400036484,23.31463440041989,23.31463440041989,23.31463440041989,24.55429600039497,200,1,[1.2556209000758827],[1.2556348000653088],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,400,unexp,0,6,6,1,24.56869710003957,,24.555655400268734,24.56869710003957,25.568990900181234,25.568990900181234,25.568990900181234,25.78726700041443,space,0.20620180014520884,None,25.788278700318187,26.201530366732428,,26.484640500042588,26.484681900124997,26.49874320020899,26.49874320020899,26.49874320020899,27.67050200002268,400,1,[1.1836747997440398],[1.1836837995797396],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,0,7,7,11,27.68511850014329,,27.671395200304687,27.68511850014329,28.685454700142145,28.685454700142145,28.685454700142145,28.98706640023738,space,0.2872795998118818,None,28.988124100025743,29.70194636710609,30.014433700125664,29.99472270021215,29.99477650038898,30.014433700125664,30.014433700125664,30.014433700125664,31.171305400319397,700,1,[1.173617800232023],[1.173636100254953],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,0,8,8,10,31.185241900384426,,31.173124100081623,31.185241900384426,32.184917100239545,32.184917100239545,32.184917100239545,32.58737900014967,space,0.38965530041605234,None,32.58832640014589,33.00171366666133,33.30964960018173,33.29457790032029,33.294626500457525,33.30964960018173,33.30964960018173,33.30964960018173,34.83785430015996,600,1,[1.5405969000421464],[1.5406148000620306],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,400,unexp,0,9,9,0,34.852252300363034,,34.839814600069076,34.852252300363034,35.85201660031453,35.85201660031453,35.85201660031453,36.220474400091916,space,0.35460769990459085,None,36.221482700202614,36.335358766900995,36.648868000134826,36.63468730030581,36.63473210018128,36.648868000134826,36.648868000134826,36.648868000134826,37.753097200300545,400,1,[1.1160246999934316],[1.1160363000817597],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
